sec,nanosec,pos_x,pos_y,pos_z
1778876343,959033991,0.0,-0.0,0.0
1778876344,159353585,0.0011891772492246785,0.00022552615671141536,0.001999999886293275
1778876344,358445764,0.004684052099140983,0.0005861472228455523,0.007999999380637102
1778876344,559100347,0.0037806690881439834,-0.0008694153116053004,0.00799999973200559
1778876344,759195990,0.0037475643984301557,0.0006351746840268834,0.008999999305531884
1778876344,958421108,0.003711234971789577,0.00047719903978022543,0.0070000009223570095
1778876345,159236213,3.4717031321592916e-05,-0.0006733058672716051,0.0029999999666311464
1778876345,359021944,-0.0002163605717695702,-0.00011657526569571188,0.003999999468494522
1778876345,560325987,0.0014386426105145456,-0.0011624877894172005,0.005999999612093305
1778876345,764910540,0.0024477881749714,-0.0008955635895393779,0.003999999303930055
1778876345,959351233,0.0018794244267053358,0.003227078353352564,0.00399999955645459
1778876346,159624951,0.003318067813738179,0.002064589258269879,0.005000000174400976
1778876346,358746605,0.0010438620627253577,-0.00040638033337893386,0.0019999995918883033
1778876346,558927478,-0.0015476291334057648,0.0006885597220557113,-0.0009999998533433323
1778876346,758507824,-0.002269368519337671,2.2879664205618737e-05,-0.00299999952037097
1778876346,958072640,-0.0030605411324499377,0.000703812512604174,-0.004999999750008527
1778876347,158865753,-0.0027004774288798433,0.0006210109144721275,-4.24416846936046e-10
1778876347,358254008,-0.005688360884578365,0.001640776492012605,-0.003999999867202745
1778876347,559066257,-0.004243269795006178,0.0038034200520694348,-0.005999999276336383
1778876347,759312864,-0.00993163083307627,0.005444197664295483,-0.014000000892947046
1778876347,956596616,-0.007482230245607551,0.005379915997730896,-0.01100000112778022
1778876348,156903867,-0.005358177781844257,0.004725131639424163,-0.007000001196875344
1778876348,360998390,0.0053016415428053295,0.0032717475324925555,-0.004999999291929526
1778876348,556658754,0.05748744394295297,-0.002242175908281116,-0.012000000679655065
1778876348,756169749,0.11604379357767754,-0.01055173889688812,0.0029999987242746926
1778876348,955462605,0.16491066788922734,6.938893903907228e-18,-0.016000002174541172
1778876349,155936388,0.1995720094180907,0.004004975655958247,-0.014000004636204016
1778876349,353997250,0.2164481395406781,0.013097884357997948,-0.008000004484735881
1778876349,556273489,0.22882830964571257,0.02571965944688097,-0.00700000457135698
1778876349,757245317,0.22550379527110948,0.020329937465506154,0.004999995689214887
1778876349,956271332,0.21137167134744236,0.033060662580596124,0.00899999606588836
1778876350,157434340,0.2098321030817044,0.03790563678352862,0.016999997343592463
1778876350,359259531,0.20599651085959478,0.04760321411643333,0.014999997244793908
1778876350,559603200,0.2039644620246278,0.058549348738155205,0.009999995870510023
1778876350,758484272,0.20252581923202825,0.059711838842127496,0.003999996549794063
1778876350,959945290,0.20803576049681582,0.058943746355238615,0.007999995071265267
1778876351,159328435,0.20774512973711404,0.05767993370923947,0.013999995649179767
1778876351,359341593,0.20843054138519926,0.05818763776962152,0.019999996112896018
1778876351,559059788,0.20756348592505433,0.05689005263651586,0.017999996358066997
1778876351,761510033,0.20518835525916834,0.05810156796793434,0.011999996944051655
1778876351,959251956,0.20425025564664556,0.05731931232049509,0.008999995078504894
1778876352,158985870,0.20295370379773053,0.05745114031206561,0.01199999676112562
1778876352,359003216,0.20089908370067472,0.05675931340943069,0.008999997067515655
1778876352,559801208,0.19894861355347498,0.05404756502887011,0.008999996401853658
1778876352,758961795,0.1992755731534056,0.05546935258360188,0.01499999585007182
1778876352,959561175,0.20014262749574957,0.0567669391814979,0.012999997585555173
1778876353,159674521,0.20007158251515866,0.05728226876959047,0.010999996582797877
1778876353,357678476,0.19704414588633365,0.05648149237137435,0.012999996268637695
1778876353,559259509,0.1975430753276935,0.053705463848253296,0.010999996787202773
1778876353,759573823,0.19883317896668867,0.050248503401820625,0.00599999611701274
1778876353,958798160,0.25489337402798656,0.017896009817641653,0.011999994689281243
1778876354,159096774,0.309785350361312,-0.003875327505398471,-0.012000007720455924
1778876354,359377545,0.4071090563192099,-0.008458824137336701,-0.018000013181512092
1778876354,560409256,0.5252196162818895,-0.030630007436626625,-0.012000022254861048
1778876354,759125369,0.6542160295755617,-0.049150299060747055,-0.004000034114365503
1778876354,959733074,0.7484444788761115,-0.05235667835540023,-0.002000045839164133
